Hechos_Id,Número De Victimas,Fecha,Año,Mes,Dia,Día Semana,Estación,Hora,Franja Horaria,Lugar Del Hecho,Tipo De Calle,Calle,Cruce,Comuna,Barrio,Participantes,Víctima,Acusado,Rol,Sexo,Edad,Rango Etario
2020-0012,1,2020-02-18,2020,Febrero,18,Martes,Verano,21:00:00,21,MEXICO 2860,CALLE,MEXICO,False,Comuna 3,Balvanera,PEATON-MOTO,PEATON,MOTO,PEATON,FEMENINO,66,61+
2020-0013,1,2020-02-20,2020,Febrero,20,Jueves,Verano,12:00:00,12,COMBATIENTES DE MALVINAS AV. Y TRIUNVITARO AV.,AVENIDA,COMBATIENTES DE MALVINAS AV.,True,Comuna 15,Parque Chas,PEATON-MOTO,PEATON,MOTO,PEATON,FEMENINO,58,41-60
2020-0014,1,2020-02-27,2020,Febrero,27,Jueves,Verano,02:14:00,2,BERMUDEZ Y NOGOYA,CALLE,BERMUDEZ,True,Comuna 11,Villa Devoto,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,15,0-18
2020-0015,1,2020-02-28,2020,Febrero,28,Viernes,Verano,14:30:00,14,BRASIL AV. Y PASEO COLON AV.,AVENIDA,BRASIL AV.,True,Comuna 1,San Telmo,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,29,26-40
2020-0016,1,2020-02-29,2020,Febrero,29,Sábado,Verano,13:00:00,13,"ALEM,LEANDRO N. AV. 770",AVENIDA,"ALEM, LEANDRO N. AV.",False,Comuna 1,San Nicolas,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,68,61+
2020-0017,1,2020-03-05,2020,Marzo,5,Jueves,Otoño,23:00:00,23,BELGRANO AV. Y RINCON,AVENIDA,BELGRANO AV.,True,Comuna 3,Balvanera,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,10,0-18
2020-0018,1,2020-03-09,2020,Marzo,9,Lunes,Otoño,14:00:00,14,"UDAONDO, GUILLERMO AV. 901",AVENIDA,"UDAONDO, GUILLERMO AV.",False,Comuna 13,Belgrano,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,31,26-40
2020-0019,1,2020-03-10,2020,Marzo,10,Martes,Otoño,21:00:00,21,CONSTITUCION Y CASTRO,CALLE,CONSTITUCION,True,Comuna 5,Boedo,PEATON-AUTO,PEATON,AUTO,PEATON,FEMENINO,80,61+
2020-0020,1,2020-03-13,2020,Marzo,13,Viernes,Otoño,17:30:00,17,"PUEYRREDON AV. Y GOMEZ, VALENTIN",AVENIDA,PUEYRREDON AV.,True,Comuna 3,Balvanera,PEATON-MOTO,PEATON,MOTO,PEATON,FEMENINO,74,61+
2020-0021,1,2020-03-14,2020,Marzo,14,Sábado,Otoño,16:50:00,16,"BRAVO, MARIO 1279",CALLE,"BRAVO, MARIO",False,Comuna 2,Recoleta,PEATON-AUTO,PEATON,AUTO,PEATON,FEMENINO,87,61+
