Hechos_Id,Víctima_Id,Acusado_Id,Rol_Id,Sexo_Id,Edad
2017-0063,3,2,3,2,79
2017-0064,5,1,2,1,61
2017-0065,6,5,4,1,21
2017-0066,3,2,3,1,10
2017-0067,1,5,1,1,21
2017-0068,1,4,1,1,32
2017-0069,1,0,1,1,39
2017-0070,3,1,3,1,80
2017-0072,2,1,1,1,25
2017-0073,1,1,1,1,19
2017-0074,0,0,1,1,70
2017-0075,3,6,3,1,55
2017-0076,3,5,3,2,30
2017-0077,1,5,1,2,60
2017-0079,1,5,1,1,33
2017-0080,3,5,3,2,95
2017-0082,3,1,3,1,36
2017-0083,1,5,1,1,37
2017-0084,3,2,3,2,73
2017-0085,3,2,3,1,84
2017-0086,3,6,3,2,30
2017-0087,3,1,3,2,73
2017-0088,3,2,3,1,43
2017-0089,0,1,1,1,23
2017-0090,3,1,3,1,22
2017-0091,1,0,1,1,58
2017-0092,3,1,3,1,66
2017-0093,3,1,3,1,77
2017-0094,6,5,4,2,56
2017-0095,1,1,1,1,36
2017-0096,3,2,3,1,87
2017-0098,3,1,3,2,61
2017-0099,6,1,4,1,28
2017-0100,1,4,2,2,16
2017-0101,3,7,3,2,61
2017-0102,3,5,3,1,46
2017-0104,3,5,3,2,18
2017-0106,3,2,3,2,85
2017-0107,1,5,1,1,41
2017-0108,2,4,2,1,17
2017-0108,2,4,2,1,10
2017-0109,1,1,1,1,21
2017-0110,3,2,3,1,56
2017-0111,3,5,3,2,79
2017-0112,2,4,2,1,1
2017-0112,2,4,2,1,59
2017-0113,3,2,3,2,76
2017-0114,2,4,1,1,26
2017-0115,1,9,1,1,34
2017-0116,1,4,1,1,22
2017-0118,1,1,2,2,26
2017-0120,1,5,1,1,20
2017-0123,3,1,3,2,36
2017-0124,1,2,1,1,51
2017-0125,1,4,1,1,29
2017-0126,2,4,2,1,39
2017-0126,2,4,1,1,36
2017-0127,1,6,2,1,24
2017-0128,3,2,3,2,60
2017-0129,1,2,1,1,57
2017-0130,2,5,1,1,23
2017-0132,1,2,1,1,23
2017-0134,3,2,3,2,47
2017-0135,1,5,1,1,24
2017-0136,3,2,3,1,55
2017-0137,3,5,3,2,60
2017-0138,1,4,2,1,25
2017-0139,2,4,2,2,15
2017-0140,1,2,1,1,24
2017-0141,3,2,3,2,22
2017-0143,2,2,1,1,50
2017-0144,2,4,2,2,50
2017-0145,1,1,1,1,58
2017-0147,1,1,1,1,49
2017-0148,3,2,3,2,82
2017-0149,3,2,3,1,13
2017-0150,3,1,3,1,56
2017-0151,3,2,3,1,23
2017-0152,6,2,4,1,19
2017-0153,1,2,2,1,50
2017-0153,1,2,1,1,30
2017-0154,3,2,3,1,76
2017-0155,0,6,1,1,77
2017-0157,2,2,1,1,53
2017-0158,1,1,1,1,32
2017-0159,1,1,1,1,27
2017-0160,3,6,3,2,30
2017-0161,3,1,3,2,30
2018-0001,3,6,3,1,83
2018-0002,6,2,4,2,26
2018-0003,3,7,3,2,58
2018-0004,1,7,1,1,39
2018-0005,3,2,3,1,54
2018-0006,6,2,4,2,45
2018-0007,2,1,1,1,46
2018-0008,1,5,1,2,32
2018-0009,1,6,1,1,19
2018-0010,1,5,1,1,40
2018-0011,3,2,3,1,84
2018-0012,1,2,1,1,20
